election_year,term_start,mayor,vote_percentage,vote_count,perks,event,other_candidates
402,"February 17, 2025",Diana,38.00%,"526,013.00","[2, 4]",,"[{""mayor"": ""Foxy"", ""vote_percentage"": ""37.3%"", ""vote_count"": ""516038""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""12.4%"", ""vote_count"": ""171543""}, {""mayor"": ""Paul"", ""vote_percentage"": ""9.1%"", ""vote_count"": ""125275""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""45206""}]"
401,"February 12, 2025",Finnegan,44.00%,"480,574.00","[2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""23.9%"", ""vote_count"": ""261655""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""17.2%"", ""vote_count"": ""187939""}, {""mayor"": ""Paul"", ""vote_percentage"": ""11.2%"", ""vote_count"": ""122473""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.7%"", ""vote_count"": ""40669""}]"
400,"February 7, 2025",Jerry,93.10%,"1,294,232.00","[1, 2, 3]",,"[{""mayor"": ""Diaz"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""46325""}, {""mayor"": ""Marina"", ""vote_percentage"": ""1.4%"", ""vote_count"": ""19457""}, {""mayor"": ""Cole"", ""vote_percentage"": ""1.2%"", ""vote_count"": ""17168""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""0.9%"", ""vote_count"": ""12724""}]"
399,"February 2, 2025",Paul,79.50%,"1,048,744.00","[1, 2, 3]",,"[{""mayor"": ""Aatrox"", ""vote_percentage"": ""12.6%"", ""vote_count"": ""166706""}, {""mayor"": ""Cole"", ""vote_percentage"": ""3.6%"", ""vote_count"": ""47602""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""30476""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""2.0%"", ""vote_count"": ""25833""}]"
398,"January 28, 2025",Diaz,41.80%,"554,007.00","[4, 2, 1]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""36.1%"", ""vote_count"": ""478046""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""11.4%"", ""vote_count"": ""150728""}, {""mayor"": ""Cole"", ""vote_percentage"": ""6.5%"", ""vote_count"": ""86267""}, {""mayor"": ""Finnegan"", ""vote_percentage"": ""4.2%"", ""vote_count"": ""55201""}]"
397,"January 22, 2025",Marina,53.60%,"619,680.00","[1, 3, 4]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""22.2%"", ""vote_count"": ""256249""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""16.9%"", ""vote_count"": ""195091""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""4.8%"", ""vote_count"": ""55144""}, {""mayor"": ""Cole"", ""vote_percentage"": ""2.5%"", ""vote_count"": ""29395""}]"
396,"January 17, 2025",Finnegan,32.70%,"402,101.00","[4, 1, 3]",,"[{""mayor"": ""Paul"", ""vote_percentage"": ""25.7%"", ""vote_count"": ""316371""}, {""mayor"": ""Marina"", ""vote_percentage"": ""24.8%"", ""vote_count"": ""305033""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""15.4%"", ""vote_count"": ""189811""}, {""mayor"": ""Foxy"", ""vote_percentage"": ""1.3%"", ""vote_count"": ""16149""}]"
395,"January 12, 2025",Cole,52.30%,"596,192.00","[2, 3]",,"[{""mayor"": ""Diana"", ""vote_percentage"": ""23.4%"", ""vote_count"": ""266841""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""18.9%"", ""vote_count"": ""215139""}, {""mayor"": ""Paul"", ""vote_percentage"": ""2.8%"", ""vote_count"": ""31432""}, {""mayor"": ""Marina"", ""vote_percentage"": ""2.7%"", ""vote_count"": ""31148""}]"
394,"January 7, 2025",Aatrox,63.10%,"812,625.00","[1, 2, 3]",,"[{""mayor"": ""Finnegan"", ""vote_percentage"": ""12.7%"", ""vote_count"": ""163440""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""11.2%"", ""vote_count"": ""144436""}, {""mayor"": ""Diana"", ""vote_percentage"": ""9.8%"", ""vote_count"": ""126097""}, {""mayor"": ""Marina"", ""vote_percentage"": ""3.3%"", ""vote_count"": ""42250""}]"
393,"January 2, 2025",Foxy,42.20%,"490,270.00","[1, 3, 4, 2]",Fishing Festival,"[{""mayor"": ""Cole"", ""vote_percentage"": ""33.4%"", ""vote_count"": ""387654""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""18.0%"", ""vote_count"": ""209113""}, {""mayor"": ""Diana"", ""vote_percentage"": ""4.5%"", ""vote_count"": ""52457""}, {""mayor"": ""Paul"", ""vote_percentage"": ""1.8%"", ""vote_count"": ""21325""}]"
392,"December 28, 2024",Derpy,78.80%,"980,749.00","[1, 2, 3, 4]",,"[{""mayor"": ""Cole"", ""vote_percentage"": ""14.3%"", ""vote_count"": ""177659""}, {""mayor"": ""Aatrox"", ""vote_percentage"": ""3.7%"", ""vote_count"": ""45668""}, {""mayor"": ""Diaz"", ""vote_percentage"": ""2.3%"", ""vote_count"": ""29010""}, {""mayor"": ""Paul"", ""vote_percentage"": ""0.9%"", ""vote_count"": ""11458""}]"
